county,Population,Asian Pop,Black Pop,Hispanic Pop,White Pop,Native Pop,Multi-Race Pop,Other Pop,Avg Hsld Size,Avg Fam Size,Owned Housing,Rented Housing,Health Cov,No Health Cov,Med Monthly Housing,Poverty %,Male Poverty %,Female Poverty %,White Poverty %,Black Poverty %,Native Poverty %,Asian Poverty %,Other Poverty %,Hispanic Poverty %,Multi-Race Poverty %,Black Unemp %,Native Unemp %,Asian Unemp %,Other Unemp %,Multi-Race Unemp %,Hispanic Unemp %,White Unemp %,Male Unemp %,Female Unemp %,LTHS Unemp %,HS Unemp %,SC/AD Unemp %,Bach./Higher Unemp %,Top Political,Unemp %
San Francisco,865933,34.04,5.16,15.65,39.05,0.18,5.2,0.72,2.34,3.11,38.2,61.8,96.4,3.6,2302,10.3,9.6,11,7.2,26.4,31.1,10,14.9,13.3,9.6,10.7,11.8,5.1,7.3,5.9,6.2,4.4,5.5,4.4,8.6,8.5,6.4,3.7,D,5.3
San Luis Obispo,282771,3.66,1.53,24.05,64.96,0.4,4.82,0.58,2.5,2.98,62.4,37.6,94.1,5.9,1714,12,11.8,12.2,11,27.9,13.9,15.6,17,13.2,13.7,3.4,3.9,3.9,7,4.7,4.4,5.5,4.4,5.5,5.3,4.2,4.5,3.7,R,5.1
San Mateo,762488,30.95,1.92,25.03,36.09,0.13,5.09,0.79,2.84,3.34,59.8,40.2,96.2,3.8,2753,6.2,5.6,6.7,4.4,11.2,13.6,5.4,9.7,9.6,5.6,7.1,16.3,4,4.5,4.4,5.2,4.4,4.1,4.9,4.8,5.7,4.7,3.3,D,4.6
Santa Barbara,447651,5.78,1.44,46.98,41.21,0.38,3.66,0.55,2.89,3.41,52.6,47.4,89.9,10.1,1855,13.4,12,14.9,10,21.6,19.5,20.6,17.2,15.7,15.5,11.3,11.5,7,7.4,7.6,6.8,5.1,5.1,6.2,6.8,6.9,5.1,2.6,D,6.1
Santa Cruz,272138,4.56,1.05,34.81,53.74,0.31,4.91,0.62,2.69,3.2,60.5,39.5,94.6,5.4,2080,10.9,9.9,11.9,8.8,10.9,17.2,17.5,15.7,13.7,10.2,3.8,8,5.8,9.3,7.2,7.7,5.8,5.6,6.4,8.9,7,4.9,4,D,6.4
Shasta,181935,3.38,0.97,10.83,75.15,2.22,6.88,0.57,2.51,3.01,64.5,35.5,93.2,6.8,1176,14.2,12.7,15.6,13.2,26.7,11.8,23.4,19.4,16.4,15.2,4,7.1,7.5,5.5,12.6,7.9,6.1,7.2,4.9,10.9,7.4,5.5,3,R,6.5
Siskiyou,44151,2.05,1.07,12.54,72.73,3.99,7.02,0.6,2.34,2.95,66.9,33.1,93.5,6.5,824,16.7,16.1,17.3,14.8,36.4,22.1,25.1,20.8,22,18.6,11.7,19.5,31.5,5.1,11.6,7.2,7,7.2,8.8,8.2,8.8,6.3,6.7,R,7.9
Solano,451432,16.46,13.23,28.23,34.17,0.36,6.79,0.76,2.87,3.38,62.5,37.5,95.2,4.8,1881,8.9,8.2,9.5,6.8,16.3,13.1,6.1,11,10.4,7.5,9.1,16.3,3.6,7,9,6.6,5,5.8,5.6,8,6.4,4.9,3,D,6
Stanislaus,550842,6.67,2.59,48.11,37.6,0.47,4.06,0.5,3.12,3.63,59.5,40.5,93.9,6.1,1369,13.6,12.3,14.8,11.4,14.1,12.7,12.4,14.3,15.6,15.3,10.5,8.7,6.9,10.6,11,10.5,6.2,7.7,8.5,10.5,8.6,6.8,3.9,D,8.4
Sutter,99080,18.36,1.78,31.68,41.52,0.87,5.18,0.61,3,3.57,59.9,40.1,93.4,6.6,1242,12.6,11.1,14.2,11.2,11.5,14.7,8.5,19.5,17,11.7,5.9,6,4.8,12,7.5,7.8,7.7,6.4,7.7,9.6,7.1,8,2.7,R,7.6
Tehama,65345,1.64,0.59,27.25,62.8,1.77,5.45,0.5,2.63,3.21,67.2,32.8,93.5,6.5,1033,18,18,17.9,14.8,15.5,47.7,13.7,27.2,24.7,16.2,5.3,11.4,3.8,11.6,5,8.5,8,7.7,6.4,10.4,7.2,5.5,6.2,R,8.1
Tulare,470999,3.35,1.13,65.5,26.43,0.73,2.28,0.58,3.33,3.78,57.4,42.6,92.3,7.7,1114,19.8,18.3,21.2,12,26.3,20,15.3,24.9,23.3,14.6,7.6,12.7,10.3,10.9,10.2,11.6,7.4,9.4,10.6,15.4,12.2,5.9,3.4,R,10.2
Yuba,80404,7.3,3.47,28.83,51.18,1.27,7.39,0.56,2.94,3.5,61.8,38.2,92.9,7.1,1205,15.2,13.8,16.5,11.5,8.5,19.3,19.1,15.4,20.1,24.4,3.5,3.1,6.6,11.7,11.1,6.6,5.6,6.8,5.2,9.2,3.5,7.4,2.6,R,6.5
